freq                    ,Gain                    ,Phase                   
10,24.85055664,-0.027393729
10.96478196,24.85055714,-0.030036629
12.02264435,24.85055775,-0.032934512
13.18256739,24.85055848,-0.036111977
14.45439771,24.85055936,-0.039596001
15.84893192,24.85056041,-0.043416158
17.37800829,24.85056168,-0.047604879
19.05460718,24.8505632,-0.052197722
20.89296131,24.85056503,-0.057233679
22.90867653,24.85056724,-0.0627555
25.11886432,24.85056988,-0.068810062
27.54228703,24.85057307,-0.075448766
30.1995172,24.8505769,-0.08272797
33.11311215,24.8505815,-0.090709473
36.30780548,24.85058703,-0.099461035
39.81071706,24.85059368,-0.109056956
43.65158322,24.85060168,-0.119578705
47.86300923,24.85061129,-0.131115616
52.48074602,24.85062285,-0.143765642
57.54399373,24.85063675,-0.157636193
63.09573445,24.85065346,-0.172845045
69.18309709,24.85067354,-0.189521346
75.8577575,24.85069769,-0.207806712
83.17637711,24.85072673,-0.227856437
91.20108394,24.85076164,-0.249840813
100,24.85080361,-0.273946582
109.6478196,24.85085406,-0.300378535
120.2264435,24.85091473,-0.329361258
131.8256739,24.85098766,-0.361141054
144.5439771,24.85107534,-0.395988059
158.4893192,24.85118076,-0.434198557
173.7800829,24.8513075,-0.476097535
190.5460718,24.85145988,-0.522041489
208.9296131,24.85164308,-0.572421508
229.0867653,24.85186333,-0.627666684
251.1886432,24.85212813,-0.688247857
275.4228703,24.85244649,-0.754681758
301.995172,24.85282925,-0.827535584
331.1311215,24.85328941,-0.907432062
363.0780548,24.85384266,-0.995055063
398.1071706,24.8545078,-1.091155843
436.5158322,24.85530747,-1.19655999
478.6300923,24.85626888,-1.312175187
524.8074602,24.85742474,-1.438999913
575.4399373,24.85881438,-1.578133234
630.9573445,24.86048508,-1.730785866
691.8309709,24.86249368,-1.89829274
758.577575,24.86490851,-2.082127367
831.7637711,24.86781171,-2.283918336
912.0108394,24.87130206,-2.505468433
1000,24.87549825,-2.748776934
1096.478196,24.88054301,-3.01606584
1202.264435,24.88660787,-3.309811008
1318.256739,24.89389904,-3.632779449
1445.439771,24.90266434,-3.988074431
1584.893192,24.91320161,-4.379190579
1737.800829,24.92586873,-4.810081845
1905.460718,24.9410957,-5.285246225
2089.296131,24.95939898,-5.809832388
2290.867653,24.98139872,-6.389775255
2511.886432,25.00783916,-7.031970104
2754.228703,25.03961292,-7.744498358
3019.95172,25.07778943,-8.536923331
3311.311215,25.12364813,-9.420681467
3630.780548,25.17871643,-10.40960515
3981.071706,25.24481192,-11.52062849
4365.158322,25.32408693,-12.77475
4786.300923,25.41907101,-14.19835917
5248.074602,25.53270149,-15.8250827
5754.399373,25.66832215,-17.69837649
6309.573445,25.82961028,-19.87518771
6918.309709,26.02035318,-22.43113518
7585.77575,26.24391974,-25.46777173
8317.637711,26.50212688,-29.12245844
9120.108394,26.79293277,-33.58074167
10000,27.10595255,-39.08858879
10964.78196,27.4143188,-45.95428139
12022.64435,27.66187149,-54.51193823
13182.56739,27.749364,-64.99208587
14454.39771,27.53705997,-77.25760281
15848.93192,26.89266325,-90.54012975
17378.00829,25.77480089,-103.5710309
19054.60718,24.2656302,-115.2050832
20892.96131,22.50904375,-124.9113439
22908.67653,20.63312115,-132.7186104
25118.86432,18.72080506,-138.9163795
27542.28703,16.8162609,-143.8369743
30199.5172,14.93939094,-147.7664192
33113.11215,13.09702386,-150.9263906
36307.80548,11.28962675,-153.3113093
39810.71706,9.514705465,-155.366529
43651.58322,7.768854893,-157.0251161
47863.00923,6.048480128,-158.352093
52480.74602,4.350234902,-159.3954623
57543.99373,2.671330395,-160.4607542
63095.73445,1.009032163,-161.0603989
69183.09709,-0.638560779,-161.4601222
75857.7575,-2.272944327,-161.0344066
83176.37711,-3.895521732,-161.0108981
91201.08394,-5.507029579,-161.1545957
100000,-7.108209774,-160.816189
109647.8196,-8.699387619,-160.601909
120226.4435,-10.28120603,-159.9477725
131825.6739,-11.85533614,-158.9060783
144543.9771,-13.42413983,-158.1230178
158489.3192,-15.00269832,-156.7911735
173780.0829,-16.67875135,-154.0567854
190546.0718,-12.5873426,-136.560189
208929.6131,-14.68976682,-159.717328
229086.7653,-21.09222713,-153.4310776
251188.6432,-22.39937689,-150.3409836
275422.8703,-23.78428869,-148.3734362
301995.172,-25.15926888,-146.4456965
331131.1215,-26.50752814,-144.2993746
363078.0548,-27.81665342,-141.6799775
398107.1706,-29.18202298,-139.3508064
436515.8322,-30.41600182,-136.0502779
478630.0923,-31.61127178,-133.7513945
524807.4602,-32.78996477,-131.1062229
575439.9373,-34.06283564,-128.2424741
630957.3445,-35.10406655,-127.7250458
691830.9709,-36.08433258,-124.7299958
758577.575,-37.10842819,-122.6868298
831763.7711,-38.10817433,-120.1212446
912010.8394,-39.07570968,-118.2093271
1000000,-39.98759218,-116.3613208
