freq                    ,Gain                    ,Phase                   
100,34.10619704,-1.804585414
104.7128548,34.14327337,-1.897815222
109.6478196,34.18410506,-1.996735372
114.8153621,34.2290924,-2.101829459
120.2264435,34.27868264,-2.21364243
125.8925412,34.33337643,-2.332791168
131.8256739,34.39373534,-2.459977329
138.0384265,34.46039069,-2.596003017
144.5439771,34.534054,-2.741790045
151.3561248,34.61552938,-2.898403765
158.4893192,34.7057284,-3.067082782
165.9586907,34.80568784,-3.249276304
173.7800829,34.91659143,-3.446691493
181.9700859,35.03979618,-3.661354088
190.5460718,35.17686499,-3.895686822
199.5262315,35.32960708,-4.152612003
208.9296131,35.5001288,-4.435687398
218.7761624,35.6908981,-4.749288664
229.0867653,35.90482721,-5.098858025
239.8832919,36.14538023,-5.491248885
251.1886432,36.41671481,-5.935212328
263.0267992,36.72387178,-6.442098309
275.4228703,37.07303297,-7.026890069
288.4031503,37.47187834,-7.709771012
301.995172,37.93009007,-8.518570705
316.227766,38.46007929,-9.492717983
331.1311215,39.078056,-10.68989181
346.7368505,39.80563536,-12.1977495
363.0780548,40.67227887,-14.15578441
380.1893963,41.71896041,-16.79880447
398.1071706,43.00315437,-20.55020776
416.8693835,44.60232022,-26.23904305
436.5158322,46.594064,-35.63495527
457.0881896,48.88032307,-52.58882652
478.6300923,50.39345535,-82.18858513
501.1872336,49.13553049,-116.071054
524.8074602,46.1483876,-138.1299194
549.5408739,43.18922796,-150.1596491
575.4399373,40.62668991,-157.1499788
602.5595861,38.41641649,-161.6015598
630.9573445,36.47490543,-164.6552588
660.693448,34.73602545,-166.8716846
691.8309709,33.15230539,-168.5512841
724.4359601,31.68982416,-169.8675857
758.577575,30.32392476,-170.927155
794.3282347,29.03629014,-171.798798
831.7637711,27.8130184,-172.5288146
870.96359,26.64334934,-173.1494519
912.0108394,25.51880716,-173.6838326
954.992586,24.43261119,-174.1489534
1000,23.37926221,-174.5575785
1047.128548,22.35424612,-174.9194738
1096.478196,21.35381779,-175.2422345
1148.153621,20.3748405,-175.5318535
1202.264435,19.41466501,-175.793121
1258.925412,18.47103697,-176.0299101
1318.256739,17.54202522,-176.2453849
1380.384265,16.62596553,-176.4421549
1445.439771,15.72141599,-176.6223906
1513.561248,14.8271213,-176.7879113
1584.893192,13.94198386,-176.9402529
1659.586907,13.06504019,-177.0807204
1737.800829,12.1954416,-177.2104294
1819.700859,11.33243807,-177.3303386
1905.460718,10.47536493,-177.441276
1995.262315,9.623631568,-177.5439602
2089.296131,8.776711949,-177.6390172
2187.761624,7.934136564,-177.7269944
2290.867653,7.095485534,-177.808372
2398.832919,6.260382705,-177.8835728
2511.886432,5.428490557,-177.9529693
2630.267992,4.599505798,-178.016891
2754.228703,3.773155537,-178.0756296
2884.031503,2.949193944,-178.1294434
3019.95172,2.127399326,-178.1785613
3162.27766,1.307571564,-178.2231862
3311.311215,0.489529853,-178.2634979
3467.368505,-0.326889292,-178.299655
3630.780548,-1.141833799,-178.3317974
3801.893963,-1.95543761,-178.3600478
3981.071706,-2.767822068,-178.3845132
4168.693835,-3.579097162,-178.4052862
4365.158322,-4.389362633,-178.4224461
4570.881896,-5.198708961,-178.4360598
4786.300923,-6.007218256,-178.4461827
5011.872336,-6.81496505,-178.4528591
5248.074602,-7.622017011,-178.456123
5495.408739,-8.428435586,-178.4559987
5754.399373,-9.234276574,-178.4525008
6025.595861,-10.03959065,-178.4456349
6309.573445,-10.84442383,-178.4353978
6606.93448,-11.6488179,-178.4217777
